ID,Team1,Team2,PlayerOfMatch,Date,CoinFlipWin,CoinDec,Location,Stadium,NeutralVenue,Winner,WinType,WinBy
274,Sri Lanka,New Zealand,MDKJ Perera,2013-11-21,Sri Lanka,field,0,Pallekele International Cricket Stadium,0,Sri Lanka,wickets,8
275,England,Pakistan,KP Pietersen,2010-05-06,England,field,Barbados,"Kensington Oval, Bridgetown",1,England,wickets,6
276,India,Sri Lanka,Yuvraj Singh,2009-12-12,Sri Lanka,bat,Chandigarh,"Punjab Cricket Association Stadium, Mohali",0,India,wickets,6
277,Sri Lanka,United Arab Emirates,SL Malinga,2016-02-25,United Arab Emirates,field,Mirpur,Shere Bangla National Stadium,1,Sri Lanka,runs,14
278,Bangladesh,Pakistan,Soumya Sarkar,2016-03-02,Pakistan,bat,Mirpur,Shere Bangla National Stadium,0,Bangladesh,wickets,5
279,Kenya,Netherlands,Mudassar Bukhari,2013-11-23,Netherlands,bat,Dubai,ICC Academy,1,Netherlands,runs,29
280,Zimbabwe,Afghanistan,Gulbadin Naib,2015-10-28,Zimbabwe,bat,Bulawayo,Queens Sports Club,0,Afghanistan,wickets,5
281,Australia,Sri Lanka,KC Sangakkara,2009-06-08,Sri Lanka,field,Nottingham,Trent Bridge,1,Sri Lanka,wickets,6
282,Pakistan,West Indies,Sarfraz Ahmed,2016-09-24,West Indies,field,0,Dubai International Cricket Stadium,1,Pakistan,runs,16
283,Ireland,New Zealand,AJ Redmond,2009-06-11,Ireland,field,Nottingham,Trent Bridge,1,New Zealand,runs,83
284,Ireland,Papua New Guinea,0,2016-02-09,Papua New Guinea,bat,Townsville,Tony Ireland Stadium,1,Papua New Guinea,runs,11
285,England,Sri Lanka,ST Jayasuriya,2006-06-15,Sri Lanka,bat,Southampton,The Rose Bowl,0,Sri Lanka,runs,2
286,Sri Lanka,West Indies,ST Jayasuriya,2009-06-10,West Indies,field,Nottingham,Trent Bridge,1,Sri Lanka,runs,15
287,England,South Africa,JH Kallis,2009-06-11,England,bat,Nottingham,Trent Bridge,0,South Africa,wickets,7
288,South Africa,West Indies,SM Pollock,2008-01-18,South Africa,field,Johannesburg,New Wanderers Stadium,0,South Africa,wickets,4
289,West Indies,Pakistan,Hasan Ali,2017-04-02,Pakistan,field,Trinidad,"Queen's Park Oval, Port of Spain",0,Pakistan,wickets,7
290,Afghanistan,Ireland,Mohammad Nabi,2017-03-12,Ireland,field,Greater Noida,Greater Noida Sports Complex Ground,1,Afghanistan,runs,28
291,Pakistan,South Africa,Umar Akmal,2010-05-10,Pakistan,bat,St Lucia,"Beausejour Stadium, Gros Islet",1,Pakistan,runs,11
292,Australia,Pakistan,Raza Hasan,2012-10-02,Australia,field,Colombo,R Premadasa Stadium,1,Pakistan,runs,32
293,United Arab Emirates,Oman,0,2015-11-22,United Arab Emirates,field,Abu Dhabi,Sheikh Zayed Stadium,0,United Arab Emirates,wickets,7
294,New Zealand,Sri Lanka,SB Styris,2010-05-22,New Zealand,bat,Lauderhill,Central Broward Regional Park Stadium Turf Ground,1,New Zealand,runs,28
295,New Zealand,Pakistan,Nasir Jamshed,2012-09-23,Pakistan,bat,0,Pallekele International Cricket Stadium,1,Pakistan,runs,13
296,England,New Zealand,TT Bresnan,2010-05-10,New Zealand,bat,St Lucia,"Beausejour Stadium, Gros Islet",1,England,wickets,3
297,Zimbabwe,New Zealand,MJ Guptill,2011-10-17,Zimbabwe,field,0,Harare Sports Club,0,New Zealand,runs,34
298,Australia,West Indies,CH Gayle,2012-10-05,West Indies,bat,Colombo,R Premadasa Stadium,1,West Indies,runs,74
299,South Africa,Australia,J Theron,2011-10-16,Australia,bat,Johannesburg,New Wanderers Stadium,0,South Africa,wickets,3
300,New Zealand,Pakistan,Umar Akmal,2009-11-13,Pakistan,bat,0,Dubai International Cricket Stadium,1,Pakistan,runs,7
301,England,Sri Lanka,SCJ Broad,2010-05-13,Sri Lanka,bat,St Lucia,"Beausejour Stadium, Gros Islet",1,England,wickets,7
302,Zimbabwe,Afghanistan,Dawlat Zadran,2015-10-26,Zimbabwe,bat,Bulawayo,Queens Sports Club,0,Afghanistan,wickets,6
303,New Zealand,Bangladesh,DL Vettori,2010-02-03,Bangladesh,bat,Hamilton,Seddon Park,0,New Zealand,wickets,10
304,New Zealand,Sri Lanka,C Munro,2016-01-10,New Zealand,field,Auckland,Eden Park,0,New Zealand,wickets,9
305,Bangladesh,Pakistan,Sabbir Rahman,2015-04-24,Pakistan,bat,Mirpur,Shere Bangla National Stadium,0,Bangladesh,wickets,7
306,West Indies,Pakistan,Umar Akmal,2013-07-28,Pakistan,bat,St Vincent,"Arnos Vale Ground, Kingstown",0,Pakistan,runs,11
307,Afghanistan,South Africa,M Morkel,2010-05-05,Afghanistan,field,Barbados,"Kensington Oval, Bridgetown",1,South Africa,runs,59
308,India,West Indies,0,2016-08-28,India,field,Lauderhill,Central Broward Regional Park Stadium Turf Ground,1,0,0,0
309,Sri Lanka,New Zealand,JD Ryder,2009-09-04,New Zealand,bat,Colombo,R Premadasa Stadium,0,New Zealand,runs,22
310,India,South Africa,JP Duminy,2015-10-02,South Africa,field,Dharmasala,Himachal Pradesh Cricket Association Stadium,0,South Africa,wickets,7
311,Australia,England,C Kieswetter,2010-05-16,England,field,Barbados,"Kensington Oval, Bridgetown",1,England,wickets,7
312,England,Pakistan,SW Billings,2015-11-26,England,bat,0,Dubai International Cricket Stadium,1,England,runs,14
313,West Indies,South Africa,R McLaren,2010-05-19,West Indies,field,Antigua,"Sir Vivian Richards Stadium, North Sound",0,South Africa,runs,13
314,South Africa,England,JA Morkel,2007-09-16,England,field,Cape Town,Newlands,0,South Africa,runs,19
315,New Zealand,Pakistan,IG Butler,2010-05-08,Pakistan,field,Barbados,"Kensington Oval, Bridgetown",1,New Zealand,runs,1
316,Australia,West Indies,DA Warner,2010-02-23,West Indies,bat,0,Sydney Cricket Ground,0,Australia,wickets,8
317,Ireland,Netherlands,PA van Meekeren,2016-03-13,Ireland,field,Dharamsala,Himachal Pradesh Cricket Association Stadium,1,Netherlands,runs,12
318,United Arab Emirates,Afghanistan,Dawlat Zadran,2017-01-16,Afghanistan,field,Abu Dhabi,Sheikh Zayed Stadium,0,Afghanistan,wickets,5
319,New Zealand,Zimbabwe,NL McCullum,2010-05-04,New Zealand,field,Guyana,Providence Stadium,1,New Zealand,runs,7
320,Sri Lanka,Pakistan,NLTC Perera,2012-06-01,Sri Lanka,bat,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Sri Lanka,runs,37
321,Zimbabwe,Bangladesh,Shakib Al Hasan,2013-05-12,Bangladesh,bat,Bulawayo,Queens Sports Club,0,Bangladesh,runs,34
322,Australia,India,DA Warner,2010-05-07,India,field,Barbados,"Kensington Oval, Bridgetown",1,Australia,runs,49
323,Australia,Pakistan,SR Watson,2010-05-02,Australia,bat,St Lucia,"Beausejour Stadium, Gros Islet",1,Australia,runs,34
324,Canada,Ireland,A Bagai,2013-11-16,Canada,field,Abu Dhabi,Sheikh Zayed Stadium,1,Ireland,runs,2
325,Zimbabwe,New Zealand,BB McCullum,2011-10-15,New Zealand,field,0,Harare Sports Club,0,New Zealand,wickets,10
326,Sri Lanka,New Zealand,TM Dilshan,2012-09-27,New Zealand,bat,0,Pallekele International Cricket Stadium,0,0,0,0
327,Ireland,Kenya,WB Rankin,2012-03-14,Kenya,bat,0,Dubai International Cricket Stadium,1,Ireland,wickets,10
328,West Indies,Australia,SPD Smith,2010-05-11,West Indies,bat,St Lucia,"Beausejour Stadium, Gros Islet",0,Australia,wickets,6
329,West Indies,Pakistan,D Bishoo,2011-04-21,West Indies,bat,St Lucia,"Beausejour Stadium, Gros Islet",0,West Indies,runs,7
330,Sri Lanka,Bangladesh,MDKJ Perera,2017-04-04,Bangladesh,bat,Colombo,R Premadasa Stadium,0,Sri Lanka,wickets,6
331,Afghanistan,Papua New Guinea,Nawroz Mangal,2015-07-23,Papua New Guinea,bat,Dublin,"The Village, Malahide",1,Afghanistan,wickets,6
332,New Zealand,Sri Lanka,ST Jayasuriya,2006-12-22,New Zealand,bat,Wellington,Westpac Stadium,0,Sri Lanka,runs,18
333,South Africa,New Zealand,AB de Villiers,2007-11-23,South Africa,field,Johannesburg,New Wanderers Stadium,0,South Africa,wickets,3
334,Ireland,Sri Lanka,DPMD Jayawardene,2009-06-14,Sri Lanka,bat,London,Lord's,1,Sri Lanka,runs,9
335,Bangladesh,Pakistan,Mohammad Hafeez,2011-11-29,Pakistan,bat,Mirpur,Shere Bangla National Stadium,0,Pakistan,runs,50
336,India,Pakistan,A Mishra,2014-03-21,India,field,Mirpur,Shere Bangla National Stadium,1,India,wickets,7
337,South Africa,Zimbabwe,JP Duminy,2010-10-10,South Africa,bat,Kimberley,De Beers Diamond Oval,0,South Africa,runs,8
338,Afghanistan,England,MM Ali,2016-03-23,England,bat,Delhi,Feroz Shah Kotla,1,England,runs,15
339,Netherlands,United Arab Emirates,TLW Cooper,2014-03-17,United Arab Emirates,bat,0,Sylhet Stadium,1,Netherlands,wickets,6
340,West Indies,Pakistan,Shadab Khan,2017-03-30,West Indies,field,Trinidad,"Queen's Park Oval, Port of Spain",0,Pakistan,runs,3
341,New Zealand,Sri Lanka,NL McCullum,2010-04-30,Sri Lanka,bat,Guyana,Providence Stadium,1,New Zealand,wickets,2
342,Bangladesh,New Zealand,KS Williamson,2016-03-26,New Zealand,bat,Kolkata,Eden Gardens,1,New Zealand,runs,75
343,New Zealand,Pakistan,MJ Guptill,2016-01-17,Pakistan,bat,Hamilton,Seddon Park,0,New Zealand,wickets,10
344,India,Ireland,Z Khan,2009-06-10,India,field,Nottingham,Trent Bridge,1,India,wickets,8
345,West Indies,New Zealand,ADS Fletcher,2014-07-05,New Zealand,field,Dominica,"Windsor Park, Roseau",0,New Zealand,runs,12
346,India,Australia,V Kohli,2016-03-27,Australia,bat,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,India,wickets,6
347,South Africa,Australia,DJ Hussey,2009-03-27,South Africa,field,Johannesburg,New Wanderers Stadium,0,South Africa,wickets,4
348,Ireland,Hong Kong,0,2016-09-05,Hong Kong,bat,Londonderry,"Bready Cricket Club, Magheramason",0,Hong Kong,runs,40
349,Scotland,United Arab Emirates,HG Munsey,2015-07-09,Scotland,field,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",0,Scotland,wickets,9
350,Australia,Pakistan,Umar Akmal,2010-07-05,Pakistan,bat,Birmingham,Edgbaston,1,Pakistan,runs,23
351,New Zealand,South Africa,RE van der Merwe,2009-06-09,New Zealand,field,London,Lord's,1,South Africa,runs,1
352,Bangladesh,Zimbabwe,H Masakadza,2016-01-22,Zimbabwe,bat,Khulna,Sheikh Abu Naser Stadium,0,Zimbabwe,runs,18
353,Afghanistan,Scotland,Mohammad Shahzad,2013-03-04,Scotland,bat,0,Sharjah Cricket Stadium,1,Afghanistan,wickets,7
354,Pakistan,Zimbabwe,Mukhtar Ahmed,2015-05-24,Zimbabwe,bat,Lahore,Gaddafi Stadium,0,Pakistan,wickets,2
355,Australia,India,MJ Clarke,2008-02-01,India,bat,0,Melbourne Cricket Ground,0,Australia,wickets,9
356,India,Sri Lanka,CAK Rajitha,2016-02-09,Sri Lanka,field,Pune,Maharashtra Cricket Association Stadium,0,Sri Lanka,wickets,5
357,Sri Lanka,West Indies,ADS Fletcher,2016-03-20,West Indies,field,Bangalore,M Chinnaswamy Stadium,1,West Indies,wickets,7
358,Afghanistan,Oman,0,2016-02-20,Oman,bat,Fatullah,Khan Shaheb Osman Ali Stadium,1,Afghanistan,wickets,3
359,New Zealand,England,PD Collingwood,2008-02-07,England,bat,Christchurch,Jade Stadium,0,England,runs,50
360,South Africa,New Zealand,JM Kemp,2007-09-19,South Africa,field,Durban,Kingsmead,0,South Africa,wickets,6
361,Bangladesh,Zimbabwe,H Masakadza,2016-01-15,Zimbabwe,bat,Khulna,Sheikh Abu Naser Stadium,0,Bangladesh,wickets,4
362,United Arab Emirates,Ireland,WB Rankin,2017-01-18,Ireland,bat,0,Dubai International Cricket Stadium,0,Ireland,runs,24
363,Sri Lanka,West Indies,AD Mathews,2014-04-03,Sri Lanka,bat,Mirpur,Shere Bangla National Stadium,1,Sri Lanka,runs,27
364,South Africa,West Indies,MN Samuels,2016-03-25,West Indies,field,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,West Indies,wickets,3
365,New Zealand,Sri Lanka,ST Jayasuriya,2007-09-15,New Zealand,bat,Johannesburg,New Wanderers Stadium,1,Sri Lanka,wickets,7
366,India,Pakistan,V Kohli,2016-02-27,India,field,Mirpur,Shere Bangla National Stadium,1,India,wickets,5
367,India,Pakistan,IK Pathan,2007-09-24,India,bat,Johannesburg,New Wanderers Stadium,1,India,runs,5
368,Kenya,Sri Lanka,ST Jayasuriya,2007-09-14,Kenya,field,Johannesburg,New Wanderers Stadium,1,Sri Lanka,runs,172
369,Ireland,Netherlands,SJ Myburgh,2014-03-21,Netherlands,field,0,Sylhet Stadium,1,Netherlands,wickets,6
370,Australia,Pakistan,DA Warner,2012-09-10,Pakistan,field,0,Dubai International Cricket Stadium,1,Australia,runs,94
371,Australia,India,R Ashwin,2014-03-30,Australia,field,Mirpur,Shere Bangla National Stadium,1,India,runs,73
372,South Africa,Sri Lanka,MDKJ Perera,2014-03-22,Sri Lanka,bat,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Sri Lanka,runs,5
373,Australia,South Africa,DA Warner,2009-01-11,Australia,bat,0,Melbourne Cricket Ground,0,Australia,runs,52
374,India,Sri Lanka,V Kohli,2016-03-01,India,field,Mirpur,Shere Bangla National Stadium,1,India,wickets,5
375,Sri Lanka,Bangladesh,Shakib Al Hasan,2017-04-06,Bangladesh,bat,Colombo,R Premadasa Stadium,0,Bangladesh,runs,45
376,Bangladesh,Sri Lanka,NLTC Perera,2014-02-14,Bangladesh,bat,Chittagong,Zahur Ahmed Chowdhury Stadium,0,Sri Lanka,wickets,3
377,England,West Indies,RR Sarwan,2009-06-15,England,bat,London,Kennington Oval,0,West Indies,wickets,5
378,Afghanistan,Ireland,Samiullah Shenwari,2017-03-08,Ireland,bat,Greater Noida,Greater Noida Sports Complex Ground,1,Afghanistan,wickets,6
379,New Zealand,West Indies,L Ronchi,2014-01-11,New Zealand,bat,Auckland,Eden Park,0,New Zealand,runs,81
380,New Zealand,Pakistan,Umar Gul,2009-06-13,New Zealand,bat,London,Kennington Oval,1,Pakistan,wickets,6
381,New Zealand,Pakistan,Shahid Afridi,2016-01-15,New Zealand,field,Auckland,Eden Park,0,Pakistan,runs,16
382,Bangladesh,Pakistan,Imran Nazir,2007-09-02,Bangladesh,field,Nairobi,Gymkhana Club Ground,1,Pakistan,runs,30
383,South Africa,Australia,DA Miller,2016-03-04,Australia,bat,Durban,Kingsmead,0,South Africa,wickets,3
384,Pakistan,West Indies,DJ Bravo,2014-04-01,West Indies,bat,Mirpur,Shere Bangla National Stadium,1,West Indies,runs,84
385,New Zealand,Zimbabwe,MJ Guptill,2012-02-11,Zimbabwe,bat,Auckland,Eden Park,0,New Zealand,wickets,7
386,India,Sri Lanka,KC Sangakkara,2014-04-06,Sri Lanka,field,Mirpur,Shere Bangla National Stadium,1,Sri Lanka,wickets,6
387,West Indies,Bangladesh,0,2014-08-27,Bangladesh,bat,St Kitts,"Warner Park, Basseterre",0,0,0,0
388,India,Pakistan,Mohammad Asif,2007-09-14,Pakistan,field,Durban,Kingsmead,1,0,0,0
389,Netherlands,Pakistan,Kamran Akmal,2009-06-09,Pakistan,bat,London,Lord's,1,Pakistan,runs,82
390,Sri Lanka,Bangladesh,MDKJ Perera,2013-03-31,Bangladesh,field,0,Pallekele International Cricket Stadium,0,Sri Lanka,runs,17
391,Pakistan,Sri Lanka,Younis Khan,2007-09-17,Sri Lanka,field,Johannesburg,New Wanderers Stadium,1,Pakistan,runs,33
392,Australia,South Africa,SR Watson,2012-09-30,Australia,field,Colombo,R Premadasa Stadium,1,Australia,wickets,8
393,Netherlands,United Arab Emirates,RE van der Merwe,2015-07-12,Netherlands,field,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",1,Netherlands,wickets,7
394,Ireland,Papua New Guinea,N Vanua,2015-07-15,Ireland,bat,Belfast,"Civil Service Cricket Club, Stormont",0,Papua New Guinea,wickets,2
395,Australia,India,Yuvraj Singh,2007-09-22,India,bat,Durban,Kingsmead,1,India,runs,15
396,Australia,Sri Lanka,NLTC Perera,2013-01-28,Australia,field,0,Melbourne Cricket Ground,0,Sri Lanka,runs,2
397,England,Sri Lanka,AD Hales,2014-03-27,England,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,England,wickets,6
398,Canada,Ireland,PR Stirling,2012-03-22,Canada,bat,0,Dubai International Cricket Stadium,1,Ireland,wickets,10
399,Afghanistan,Ireland,Mohammad Nabi,2017-01-14,Ireland,bat,Abu Dhabi,Sheikh Zayed Stadium,1,Afghanistan,wickets,5
400,Australia,New Zealand,A Symonds,2007-12-11,Australia,bat,Perth,Western Australia Cricket Association Ground,0,Australia,runs,54
401,Pakistan,Sri Lanka,Shahid Afridi,2009-06-21,Sri Lanka,bat,London,Lord's,1,Pakistan,wickets,8
402,Sri Lanka,Pakistan,DPMD Jayawardene,2012-10-04,Sri Lanka,bat,Colombo,R Premadasa Stadium,0,Sri Lanka,runs,16
403,Hong Kong,Oman,0,2015-11-26,Hong Kong,field,Abu Dhabi,Sheikh Zayed Stadium,1,Hong Kong,wickets,8
404,England,Netherlands,Mudassar Bukhari,2014-03-31,England,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Netherlands,runs,45
405,New Zealand,Sri Lanka,JEC Franklin,2006-12-26,New Zealand,field,Auckland,Eden Park,0,New Zealand,wickets,5
406,Netherlands,Bangladesh,0,2012-07-25,Netherlands,bat,The Hague,Sportpark Westvliet,0,Bangladesh,wickets,8
407,Bangladesh,Pakistan,Junaid Siddique,2007-09-20,Pakistan,field,Cape Town,Newlands,1,Pakistan,wickets,4
408,India,South Africa,AB de Villiers,2009-06-16,South Africa,bat,Nottingham,Trent Bridge,1,South Africa,runs,12
409,South Africa,New Zealand,AM Phangiso,2015-08-14,South Africa,field,Durban,Kingsmead,0,South Africa,wickets,6
410,India,England,EJG Morgan,2012-12-22,England,field,Mumbai,Wankhede Stadium,0,England,wickets,6
411,Sri Lanka,Zimbabwe,BAW Mendis,2012-09-18,Zimbabwe,field,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Sri Lanka,runs,82
412,New Zealand,South Africa,JA Morkel,2010-05-06,South Africa,bat,Barbados,"Kensington Oval, Bridgetown",1,South Africa,runs,13
413,Hong Kong,Zimbabwe,V Sibanda,2016-03-08,Hong Kong,field,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Zimbabwe,runs,14
414,Afghanistan,Hong Kong,Mohammad Shahzad,2014-03-18,Hong Kong,bat,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Afghanistan,wickets,7
415,India,South Africa,JA Morkel,2015-10-05,South Africa,field,Cuttack,Barabati Stadium,0,South Africa,wickets,6
416,Pakistan,Sri Lanka,TM Dilshan,2009-06-12,Sri Lanka,bat,London,Lord's,1,Sri Lanka,runs,19
417,South Africa,West Indies,CH Gayle,2015-01-09,South Africa,bat,Cape Town,Newlands,0,West Indies,wickets,4
418,England,New Zealand,HD Rutherford,2013-06-25,England,field,London,Kennington Oval,0,New Zealand,runs,5
419,England,Pakistan,MH Yardy,2010-09-05,England,field,Cardiff,Sophia Gardens,0,England,wickets,5
420,Australia,India,SR Watson,2016-01-31,Australia,bat,0,Sydney Cricket Ground,0,India,wickets,7
421,Pakistan,Sri Lanka,MDKJ Perera,2013-12-13,Pakistan,field,0,Dubai International Cricket Stadium,1,Sri Lanka,runs,24
422,England,Pakistan,LE Plunkett,2015-11-27,England,bat,0,Dubai International Cricket Stadium,1,England,runs,3
423,New Zealand,West Indies,L Ronchi,2014-01-15,West Indies,bat,Wellington,Westpac Stadium,0,New Zealand,wickets,4
424,New Zealand,England,0,2013-02-12,England,field,Hamilton,Seddon Park,0,New Zealand,runs,55
425,Sri Lanka,Zimbabwe,DPMD Jayawardene,2010-05-03,Sri Lanka,bat,Guyana,Providence Stadium,1,Sri Lanka,runs,14
426,Sri Lanka,Australia,TM Dilshan,2011-08-06,Australia,field,0,Pallekele International Cricket Stadium,0,Sri Lanka,runs,35
427,South Africa,Australia,RE van der Merwe,2009-03-29,Australia,field,Centurion,SuperSport Park,0,South Africa,runs,17
428,Afghanistan,Ireland,Mohammad Nabi,2010-02-09,Ireland,field,0,Dubai International Cricket Stadium,1,Afghanistan,runs,13
429,Sri Lanka,West Indies,DPMD Jayawardene,2012-09-29,West Indies,bat,0,Pallekele International Cricket Stadium,0,Sri Lanka,wickets,9
430,West Indies,Zimbabwe,AG Cremer,2010-02-28,Zimbabwe,bat,Trinidad,"Queen's Park Oval, Port of Spain",0,Zimbabwe,runs,26
431,England,Sri Lanka,JC Buttler,2016-03-26,Sri Lanka,field,Delhi,Feroz Shah Kotla,1,England,runs,10
432,Australia,West Indies,SR Watson,2012-09-22,West Indies,bat,Colombo,R Premadasa Stadium,1,Australia,runs,17
433,England,New Zealand,LJ Wright,2012-09-29,New Zealand,bat,0,Pallekele International Cricket Stadium,1,England,wickets,6
434,Canada,Netherlands,B Zuiderent,2010-02-09,Canada,bat,0,Dubai International Cricket Stadium,1,Netherlands,wickets,6
435,Pakistan,Sri Lanka,Shoaib Malik,2008-10-11,Pakistan,field,King City,Maple Leaf North-West Ground,1,Pakistan,wickets,3
436,Netherlands,Scotland,W Barresi,2013-11-28,Scotland,bat,Abu Dhabi,Sheikh Zayed Stadium,1,Netherlands,wickets,8
437,New Zealand,Bangladesh,KS Williamson,2017-01-03,Bangladesh,bat,Napier,McLean Park,0,New Zealand,wickets,6
438,Afghanistan,Hong Kong,Mohammad Nabi,2016-02-22,Hong Kong,field,Mirpur,Shere Bangla National Stadium,1,Afghanistan,runs,66
439,Australia,Sri Lanka,DA Warner,2013-01-26,Australia,bat,Sydney,Stadium Australia,0,Sri Lanka,wickets,5
440,Afghanistan,Pakistan,Mohammad Hafeez,2013-12-08,Afghanistan,bat,0,Sharjah Cricket Stadium,1,Pakistan,wickets,6
441,United Arab Emirates,Ireland,0,2016-02-16,United Arab Emirates,bat,Abu Dhabi,Sheikh Zayed Stadium,0,United Arab Emirates,runs,5
442,Afghanistan,Ireland,Mohammad Shahzad,2010-02-13,Ireland,bat,0,Dubai International Cricket Stadium,1,Afghanistan,wickets,8
443,West Indies,Ireland,DJG Sammy,2010-04-30,West Indies,bat,Guyana,Providence Stadium,0,West Indies,runs,70
444,Australia,England,NW Bracken,2007-09-14,England,bat,Cape Town,Newlands,1,Australia,wickets,8
445,Bangladesh,Netherlands,Tamim Iqbal,2016-03-09,Netherlands,field,Dharamsala,Himachal Pradesh Cricket Association Stadium,1,Bangladesh,runs,8
446,South Africa,New Zealand,H Davids,2012-12-26,South Africa,bat,Port Elizabeth,St George's Park,0,South Africa,runs,33
447,England,India,RJ Sidebottom,2009-06-14,India,field,London,Lord's,0,England,runs,3
448,Australia,South Africa,RR Rossouw,2014-11-05,Australia,bat,0,Adelaide Oval,0,South Africa,wickets,7
449,Pakistan,United Arab Emirates,Shoaib Malik,2016-02-29,United Arab Emirates,bat,Mirpur,Shere Bangla National Stadium,1,Pakistan,wickets,7
450,New Zealand,England,0,2013-02-15,England,field,Wellington,Westpac Stadium,0,England,wickets,10
451,Afghanistan,Ireland,DT Johnston,2013-11-30,Ireland,bat,Abu Dhabi,Sheikh Zayed Stadium,1,Ireland,runs,68
452,West Indies,Pakistan,Shahid Afridi,2013-07-27,West Indies,bat,St Vincent,"Arnos Vale Ground, Kingstown",0,Pakistan,wickets,2
453,England,Australia,MM Ali,2015-08-31,Australia,field,Cardiff,Sophia Gardens,0,England,runs,5
454,Bangladesh,Sri Lanka,CRD Fernando,2007-09-18,Bangladesh,field,Johannesburg,New Wanderers Stadium,1,Sri Lanka,runs,64
455,West Indies,South Africa,J Botha,2010-05-20,West Indies,field,Antigua,"Sir Vivian Richards Stadium, North Sound",0,South Africa,runs,1
456,England,West Indies,PD Collingwood,2007-06-28,West Indies,bat,London,Kennington Oval,0,West Indies,runs,15
457,South Africa,Sri Lanka,AD Mathews,2017-01-22,South Africa,bat,Johannesburg,New Wanderers Stadium,0,Sri Lanka,wickets,3
458,Hong Kong,Nepal,Haseeb Amjad,2015-07-15,Hong Kong,field,Belfast,"Civil Service Cricket Club, Stormont",1,Hong Kong,wickets,5
459,South Africa,Pakistan,Q de Kock,2013-11-20,Pakistan,field,Johannesburg,New Wanderers Stadium,0,South Africa,runs,4
460,Sri Lanka,Pakistan,Anwar Ali,2015-08-01,Sri Lanka,bat,Colombo,R Premadasa Stadium,0,Pakistan,wickets,1
461,Afghanistan,Hong Kong,Mohammad Nabi,2016-03-10,Hong Kong,bat,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Afghanistan,wickets,6
462,India,Australia,Yuvraj Singh,2013-10-10,India,field,Rajkot,Saurashtra Cricket Association Stadium,0,India,wickets,6
463,Bangladesh,India,RG Sharma,2016-02-24,Bangladesh,field,Mirpur,Shere Bangla National Stadium,0,India,runs,45
464,Afghanistan,Kenya,0,2013-10-11,Kenya,bat,0,Sharjah Cricket Stadium,1,Kenya,runs,34
465,Kenya,New Zealand,MR Gillespie,2007-09-12,New Zealand,field,Durban,Kingsmead,1,New Zealand,wickets,9
466,Netherlands,Zimbabwe,BRM Taylor,2014-03-19,Netherlands,bat,0,Sylhet Stadium,1,Zimbabwe,wickets,5
467,South Africa,New Zealand,JS Patel,2005-10-21,New Zealand,field,Johannesburg,New Wanderers Stadium,0,New Zealand,wickets,5
468,South Africa,Zimbabwe,JH Kallis,2012-09-20,South Africa,field,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",1,South Africa,wickets,10
469,Afghanistan,West Indies,Najibullah Zadran,2016-03-27,West Indies,field,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Afghanistan,runs,6
470,India,Pakistan,Mohammad Hafeez,2012-12-25,Pakistan,field,Bangalore,M Chinnaswamy Stadium,0,Pakistan,wickets,5
471,Bangladesh,Ireland,0,2016-03-11,Ireland,field,Dharamsala,Himachal Pradesh Cricket Association Stadium,1,0,0,0
472,United Arab Emirates,Zimbabwe,E Chigumbura,2014-03-21,Zimbabwe,field,0,Sylhet Stadium,1,Zimbabwe,wickets,5
473,Zimbabwe,Bangladesh,H Masakadza,2013-05-11,Zimbabwe,bat,Bulawayo,Queens Sports Club,0,Zimbabwe,runs,6
474,Sri Lanka,Pakistan,Shahid Afridi,2009-08-12,Pakistan,bat,Colombo,R Premadasa Stadium,0,Pakistan,runs,52
475,Afghanistan,Zimbabwe,Mohammad Shahzad,2016-01-10,Zimbabwe,field,0,Sharjah Cricket Stadium,1,Afghanistan,runs,81
476,Australia,Ireland,SR Watson,2012-09-19,Ireland,bat,Colombo,R Premadasa Stadium,1,Australia,wickets,7
477,England,India,Yuvraj Singh,2007-09-19,India,bat,Durban,Kingsmead,1,India,runs,18
478,Australia,New Zealand,MJ McClenaghan,2016-03-18,New Zealand,bat,Dharamsala,Himachal Pradesh Cricket Association Stadium,1,New Zealand,runs,8
479,West Indies,England,RR Sarwan,2009-03-15,West Indies,field,Trinidad,"Queen's Park Oval, Port of Spain",0,West Indies,wickets,6
480,South Africa,India,CA Ingram,2012-03-30,India,field,Johannesburg,New Wanderers Stadium,0,South Africa,runs,11
481,England,South Africa,JE Root,2016-03-18,England,field,Mumbai,Wankhede Stadium,1,England,wickets,2
